state_body,program_code,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,ՀՀ նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,1121163.2,1155263.2,474126.7,485726.7,390541.36,0.338,0.804
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11002,Արտասահմանյան պաշտոնական գործուղումներ,Արտասահմանյան պաշտոնական գործուղումներ,Ծառայությունների մատուցում,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,0.0,93237.15,0.0,93237.15,93237.15,1.0,1.0
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11003,Արտասահմանյան պատվիրակությունների ընդունելություններ,Արտասահմանյան պատվիրակությունների ընդունելություններ,Ծառայությունների մատուցում,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,0.0,8663.2,0.0,8663.2,8606.2,0.993,0.993
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11004,2019 թվականի հունիսի 7-9-ը Երևան և Դիլիջան քաղաքներում Մտքերի գագաթնաժողովի (Summit of Minds) անցկացում,Հայաստանի Հանրապետության նախագահ Արմեն Սարգսյանի հովանու ներքո Մտքերի գագաթնաժողովը  (Summit of Minds) 2019 թվականի հունիսի 7-9-ը Երևան և Դիլիջան քաղաքներում անցկացնելու ապահովում,Ծառայությունների մատուցում,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,31001,ՀՀ նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Հանրապետության նախագահի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,1145163.2,1286163.55,487126.7,605627.05,496075.41,0.386,0.819,24000.0,24000.0,13000.0,13000.0,3690.7,0.154,0.284
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,4968459.4,5817189.3,2147832.8,2582439.5,1977076.99,0.34,0.766
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,1211.0,1211.0,1211.0,1211.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,180499.2,180499.2,90249.6,90249.6,90249.58,0.5,1.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,5254230.1,6231859.0,2291323.7,2810930.4,2067326.57,0.332,0.735,104060.5,232959.5,52030.3,137030.3,0.0,0.0,0.0
ՀՀ վարչապետի  աշխատակազմ,1018,Պետական հատվածի արդիականացման ծրագիր,Հանրային ֆինանսական հաշվետվությունների որակի և ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Հանրային ֆինանսների կառավարման տեղեկատվական համակարգերի բարելավում, ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",11001,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման երրորդ ծրագիր,ՀՀ հանրային հատվածի ֆինանսական կառավարման բարեփոխումների մշակման և իրականացման խորհրդատվական ծառայությունների ձեռքբերում,Ծառայությունների մատուցում,20439178.8,21463749.92,9046954.3,10059490.52,5651189.5,0.263,0.562,4174467.6,4543641.5,1491395.7,1860569.6,263696.48,0.058,0.142,694408.3,694408.3,134332.8,134332.8,102613.07,0.148,0.764
